epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.7791,1.05191,0.65,1,1.0415,0.00021658,0.00021658,0.00021658
2,15.5646,1.10339,0.525,0.975,1.41943,0.000419636,0.000419636,0.000419636
3,19.2358,1.20363,0.525,0.95,1.72803,0.000600426,0.000600426,0.000600426
4,22.8297,1.10157,0.25,0.95,1.90723,0.000709299,0.000709299,0.000709299
5,26.4945,1.07777,0.625,0.975,1.10547,0.000668066,0.000668066,0.000668066
6,32.3982,1.10579,0.475,1,0.97729,0.000626832,0.000626832,0.000626832
