epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.7843,2.036,0.1087,0.6087,2.08789,0.0002499,0.0002499,0.0002499
2,18.5767,1.8014,0.21739,0.91304,2.36816,0.000482978,0.000482978,0.000482978
3,28.7229,1.66762,0.26087,0.84783,4.88672,0.00069049,0.00069049,0.00069049
4,38.584,1.62051,0.41304,0.95652,2.59082,0.000709299,0.000709299,0.000709299
5,48.5397,1.48982,0.43478,0.91304,2.02197,0.000668066,0.000668066,0.000668066
6,58.5718,1.49796,0.32609,0.93478,2.01855,0.000626832,0.000626832,0.000626832
7,68.6844,1.49834,0.41304,0.97826,1.44336,0.000585599,0.000585599,0.000585599
8,78.7417,1.38487,0.54348,0.97826,1.36133,0.000544365,0.000544365,0.000544365
9,88.7837,1.3587,0.45652,1,1.26953,0.000503132,0.000503132,0.000503132
10,100.084,1.24907,0.56522,1,1.10913,0.000461898,0.000461898,0.000461898
11,134.81,1.17684,0.47826,0.97826,1.1272,0.000420665,0.000420665,0.000420665
12,144.418,1.16493,0.47826,0.97826,1.1814,0.000379431,0.000379431,0.000379431
13,153.974,1.17458,0.43478,0.97826,1.23682,0.000338198,0.000338198,0.000338198
14,164.133,1.09951,0.5,1,1.2749,0.000296964,0.000296964,0.000296964
15,174.121,1.02996,0.54348,0.97826,1.29663,0.000255731,0.000255731,0.000255731
16,184.074,0.96452,0.54348,1,1.11963,0.000214497,0.000214497,0.000214497
17,193.848,0.97376,0.45652,1,1.08716,0.000173264,0.000173264,0.000173264
18,203.791,0.93485,0.56522,1,1.10742,0.000132031,0.000132031,0.000132031
19,213.769,0.94283,0.5,1,1.17578,9.0797e-05,9.0797e-05,9.0797e-05
20,223.759,0.923,0.56522,0.97826,1.17627,4.95635e-05,4.95635e-05,4.95635e-05
