epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.43402,2.08322,0.175,0.65,2.08496,0.00021658,0.00021658,0.00021658
2,12.9686,1.92563,0.2,0.9,1.80664,0.000430563,0.000430563,0.000430563
3,17.2628,1.73573,0.25,0.825,2.15527,0.000633413,0.000633413,0.000633413
4,22.1066,1.59666,0.275,0.875,3.01367,0.00077115,0.00077115,0.00077115
5,26.7272,1.43271,0.325,0.925,1.82568,0.000750533,0.000750533,0.000750533
6,31.0881,1.47383,0.325,0.925,2.47266,0.000729916,0.000729916,0.000729916
7,35.4656,1.29778,0.55,0.925,1.23877,0.000709299,0.000709299,0.000709299
8,39.9593,1.34301,0.475,0.925,1.01147,0.000688683,0.000688683,0.000688683
9,44.5975,1.23155,0.35,0.925,1.68018,0.000668066,0.000668066,0.000668066
10,48.8601,1.17454,0.475,0.975,1.31104,0.000647449,0.000647449,0.000647449
11,53.3998,1.15479,0.525,0.95,1.32666,0.000626832,0.000626832,0.000626832
12,57.7547,1.04973,0.4,0.925,2.01465,0.000606216,0.000606216,0.000606216
13,62.22,1.10684,0.6,0.95,1.49268,0.000585599,0.000585599,0.000585599
14,66.4509,0.97719,0.5,0.975,1.32422,0.000564982,0.000564982,0.000564982
15,70.9286,1.07166,0.5,0.975,1.12549,0.000544365,0.000544365,0.000544365
16,75.5284,0.89176,0.525,0.95,1.38232,0.000523749,0.000523749,0.000523749
17,80.7931,1.01144,0.525,0.925,1.37402,0.000503132,0.000503132,0.000503132
18,85.388,1.00873,0.6,0.975,1.27637,0.000482515,0.000482515,0.000482515
19,89.5207,0.89981,0.65,0.975,1.17822,0.000461898,0.000461898,0.000461898
20,94.253,0.87909,0.55,1,1.01611,0.000441282,0.000441282,0.000441282
21,99.1018,0.77652,0.675,1,0.7478,0.000420665,0.000420665,0.000420665
22,103.376,0.82563,0.575,0.975,0.92456,0.000400048,0.000400048,0.000400048
23,105.469,0.89044,0.65,0.975,1.39697,0.000379431,0.000379431,0.000379431
24,107.518,0.74657,0.55,0.95,1.4917,0.000358815,0.000358815,0.000358815
25,109.548,0.77642,0.65,1,0.84668,0.000338198,0.000338198,0.000338198
26,111.597,0.77196,0.7,0.95,1.21924,0.000317581,0.000317581,0.000317581
27,113.682,0.70348,0.65,1,0.74615,0.000296964,0.000296964,0.000296964
28,115.763,0.66216,0.675,0.975,1.396,0.000276348,0.000276348,0.000276348
29,117.904,0.59773,0.725,0.975,1.03296,0.000255731,0.000255731,0.000255731
30,120.063,0.61822,0.625,1,1.20361,0.000235114,0.000235114,0.000235114
31,146.699,0.59377,0.725,0.975,1.44727,0.000214497,0.000214497,0.000214497
32,149.964,0.68206,0.725,0.95,1.36426,0.000193881,0.000193881,0.000193881
33,152.016,0.61192,0.65,0.95,0.94287,0.000173264,0.000173264,0.000173264
34,154.079,0.61043,0.65,0.975,1.01514,0.000152647,0.000152647,0.000152647
35,156.148,0.53131,0.6,0.975,1.48315,0.000132031,0.000132031,0.000132031
36,158.203,0.49479,0.625,0.925,1.28711,0.000111414,0.000111414,0.000111414
37,160.169,0.53577,0.65,0.95,1.04004,9.0797e-05,9.0797e-05,9.0797e-05
38,162.158,0.54769,0.65,0.95,1.18481,7.01802e-05,7.01802e-05,7.01802e-05
39,164.14,0.55774,0.6,0.95,1.50464,4.95635e-05,4.95635e-05,4.95635e-05
40,166.175,0.44732,0.625,0.95,1.13135,2.89468e-05,2.89468e-05,2.89468e-05
