epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.43855,2.08322,0.175,0.65,2.08496,0.00021658,0.00021658,0.00021658
2,6.90519,1.93018,0.225,0.875,1.73877,0.000419636,0.000419636,0.000419636
3,9.00007,1.72085,0.175,0.925,1.82129,0.000600426,0.000600426,0.000600426
4,11.0312,1.61681,0.175,0.85,3.10645,0.000709299,0.000709299,0.000709299
5,13.015,1.46137,0.35,0.925,2.32812,0.000668066,0.000668066,0.000668066
6,15.0165,1.47065,0.275,0.875,2.02686,0.000626832,0.000626832,0.000626832
7,17.0223,1.32113,0.6,0.925,1.20557,0.000585599,0.000585599,0.000585599
8,19.0388,1.39431,0.425,0.925,1.07788,0.000544365,0.000544365,0.000544365
9,21.0325,1.23979,0.475,0.95,1.46045,0.000503132,0.000503132,0.000503132
10,23.0691,1.19489,0.575,0.925,1.17871,0.000461898,0.000461898,0.000461898
11,46.7162,1.14836,0.55,0.975,1.12158,0.000420665,0.000420665,0.000420665
12,48.7266,1.1517,0.575,0.975,0.99609,0.000379431,0.000379431,0.000379431
13,50.7223,1.20491,0.475,0.975,1.26758,0.000338198,0.000338198,0.000338198
14,52.791,1.02165,0.525,1,1.2915,0.000296964,0.000296964,0.000296964
15,54.8352,0.92053,0.625,0.975,1.00488,0.000255731,0.000255731,0.000255731
16,56.9295,1.05398,0.55,0.975,1.14722,0.000214497,0.000214497,0.000214497
17,58.969,1.00126,0.475,0.975,1.03149,0.000173264,0.000173264,0.000173264
18,60.9921,0.98954,0.65,0.975,1.16016,0.000132031,0.000132031,0.000132031
19,63.0556,0.99094,0.625,0.975,1.1665,9.0797e-05,9.0797e-05,9.0797e-05
20,65.2513,0.95037,0.65,0.975,1.3064,4.95635e-05,4.95635e-05,4.95635e-05
