epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.65,2.02936,0.1,0.65,2.06641,0.00021658,0.00021658,0.00021658
2,23.1166,1.78176,0.175,0.825,3.0957,0.000419636,0.000419636,0.000419636
3,31.3024,1.59582,0.25,0.9,3.88867,0.000600426,0.000600426,0.000600426
4,39.3489,1.47205,0.2,0.875,3.36621,0.000709299,0.000709299,0.000709299
5,47.3076,1.47393,0.4,0.9,2.98438,0.000668066,0.000668066,0.000668066
6,55.3769,1.38205,0.35,0.925,1.46826,0.000626832,0.000626832,0.000626832
7,63.3212,1.34931,0.65,0.925,1.19092,0.000585599,0.000585599,0.000585599
8,71.49,1.35937,0.5,0.925,1.16797,0.000544365,0.000544365,0.000544365
9,78.8807,1.24543,0.425,0.975,1.56348,0.000503132,0.000503132,0.000503132
10,85.972,1.21316,0.6,0.925,1.24316,0.000461898,0.000461898,0.000461898
11,117.497,1.12251,0.55,0.975,1.19043,0.000420665,0.000420665,0.000420665
12,125.343,1.15758,0.5,0.9,1.16797,0.000379431,0.000379431,0.000379431
13,132.965,1.19146,0.475,0.925,1.13135,0.000338198,0.000338198,0.000338198
14,139.56,1.02041,0.525,1,1.26172,0.000296964,0.000296964,0.000296964
15,146.131,0.89596,0.575,0.975,0.80151,0.000255731,0.000255731,0.000255731
16,152.72,0.99302,0.575,0.975,1.19141,0.000214497,0.000214497,0.000214497
17,159.388,0.97188,0.6,0.975,0.94019,0.000173264,0.000173264,0.000173264
18,166.154,0.97613,0.65,0.975,1.07031,0.000132031,0.000132031,0.000132031
19,172.957,0.95781,0.625,1,1.02271,9.0797e-05,9.0797e-05,9.0797e-05
20,179.99,0.87813,0.65,1,1.24585,4.95635e-05,4.95635e-05,4.95635e-05
