epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,185.292,2.07925,0.1,0.625,2.06641,0.00021658,0.00021658,0.00021658
2,345.084,2.01726,0.15,0.675,8.91211,0.000419636,0.000419636,0.000419636
3,478.903,1.80176,0.175,0.9,4.47852,0.000600426,0.000600426,0.000600426
4,625.461,1.61993,0.225,0.8,6.94141,0.000709299,0.000709299,0.000709299
5,806.111,1.58827,0.275,0.875,2.99902,0.000668066,0.000668066,0.000668066
6,1083.37,1.63887,0.2,0.875,2.52246,0.000626832,0.000626832,0.000626832
7,1245.94,1.5015,0.475,0.9,1.74072,0.000585599,0.000585599,0.000585599
8,1400.08,1.49231,0.525,0.9,1.44629,0.000544365,0.000544365,0.000544365
9,1568.9,1.41561,0.4,0.925,1.76416,0.000503132,0.000503132,0.000503132
10,1744.15,1.35697,0.35,0.875,1.68408,0.000461898,0.000461898,0.000461898
11,1957.88,1.33526,0.575,0.875,1.81299,0.000420665,0.000420665,0.000420665
12,2095.36,1.4168,0.475,0.875,1.51221,0.000379431,0.000379431,0.000379431
13,2249.11,1.39652,0.525,0.9,1.44775,0.000338198,0.000338198,0.000338198
14,2391.34,1.24866,0.45,0.875,1.70215,0.000296964,0.000296964,0.000296964
15,2536.08,1.21455,0.575,0.925,1.02368,0.000255731,0.000255731,0.000255731
16,2681.18,1.29549,0.4,0.975,1.39941,0.000214497,0.000214497,0.000214497
17,2829.56,1.23864,0.475,1,1.33936,0.000173264,0.000173264,0.000173264
18,3012.55,1.20251,0.6,0.925,1.15869,0.000132031,0.000132031,0.000132031
19,3158.96,1.1415,0.6,0.925,1.57764,9.0797e-05,9.0797e-05,9.0797e-05
20,3318.11,1.15695,0.55,0.95,1.50098,4.95635e-05,4.95635e-05,4.95635e-05
