                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8744,                    0.6,                  0.975,                 1.8911,             0.00018564,             0.00018564,             0.00018564
                      2,                0.86473,                    0.8,                      1,                 1.6191,              0.0001911,              0.0001911,              0.0001911
